,FEN
0,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR
1,rnbqkbnrppp1pppp83p43P48PPP1PPPPRNBQKBNR
2,rnbqkbnrppp1pppp83p42PP48PP2PPPPRNBQKBNR
3,rnbqkbnrpp2pppp2p53p42PP48PP2PPPPRNBQKBNR
4,rnbqkbnrpp2pppp2p53p42PP44P3PP3PPPRNBQKBNR
5,rn1qkbnrpp2pppp2p53p1b22PP44P3PP3PPPRNBQKBNR
6,rn1qkbnrpp2pppp2p53p1b22PP42N1P3PP3PPPR1BQKBNR
7,rn1qkbnrpp3ppp2p1p33p1b22PP42N1P3PP3PPPR1BQKBNR
8,rn1qkbnrpp3ppp2p1p33p1b22PP42N1PN2PP3PPPR1BQKB1R
9,r2qkbnrpp1n1ppp2p1p33p1b22PP42N1PN2PP3PPPR1BQKB1R
10,r2qkbnrpp1n1ppp2p1p33p1b22PP4P1N1PN21P3PPPR1BQKB1R
11,r2qk1nrpp1n1ppp2pbp33p1b22PP4P1N1PN21P3PPPR1BQKB1R
12,r2qk1nrpp1n1ppp2pbp32Pp1b23P4P1N1PN21P3PPPR1BQKB1R
13,r2qk1nrppbn1ppp2p1p32Pp1b23P4P1N1PN21P3PPPR1BQKB1R
14,r2qk1nrppbn1ppp2p1p32Pp1b21P1P4P1N1PN25PPPR1BQKB1R
15,r2qk1nrppbn1ppp2p52Pppb21P1P4P1N1PN25PPPR1BQKB1R
16,r2qk1nrppbn1ppp2p52Pppb21P1P4P1N1PN24BPPPR1BQK2R
17,r2qk2rppbn1ppp2p2n22Pppb21P1P4P1N1PN24BPPPR1BQK2R
18,r2qk2rppbn1ppp2p2n22Pppb21P1P4P1N1PN21B2BPPPR2QK2R
19,r2qk2rppbn1ppp2p2n22Pp1b21P1Pp3P1N1PN21B2BPPPR2QK2R
20,r2qk2rppbn1ppp2p2n22Pp1b21P1Pp3P1N1P31B1NBPPPR2QK2R
21,r2qk2rppbn1pp12p2n22Pp1b1p1P1Pp3P1N1P31B1NBPPPR2QK2R
22,r2qk2rppbn1pp12p2n22Pp1b1p1P1Pp3P1N1P2P1B1NBPP1R2QK2R
23,r2qkn1rppb2pp12p2n22Pp1b1p1P1Pp3P1N1P2P1B1NBPP1R2QK2R
24,r2qkn1rppb2pp12p2n22Pp1b1pPP1Pp32N1P2P1B1NBPP1R2QK2R
25,r2qk2rppb2pp12p2nn12Pp1b1pPP1Pp32N1P2P1B1NBPP1R2QK2R
26,r2qk2rppb2pp12p2nn11PPp1b1pP2Pp32N1P2P1B1NBPP1R2QK2R
27,r2qk2rppb2pp12p2n21PPp1b1pP2Pp2n2N1P2P1B1NBPP1R2QK2R
28,r2qk2rppb2pp12p2n21PPp1b1pP2Pp2n2N1P1PP1B1NBP2R2QK2R
29,r2qk2rppb2pp12p2n21PPp1b1pP2Pp32N1P1PP1B1NBPn1R2QK2R
